Frequency/GHz,real(s11),imag(s11)
18.3,0.007307063660457774,-0.004084143762743769
18.301,0.00731919261942468,-0.004092703185021113
18.302,0.007330198751511197,-0.004100666332698982
18.303,0.007340111372522329,-0.004108028865338065
18.304,0.007348959311170439,-0.00411478696778389
18.305,0.007356770908701071,-0.004120937328639468
18.306,0.007363574019140423,-0.004126477119218125
18.307,0.0073693960100327804,-0.004131403972924996
18.308,0.00737426376377856,-0.00413571596513615
18.309,0.007378203679427181,-0.004139411593534148
18.31,0.00738124167496898,-0.004142489758924062
18.311,0.007383403190091231,-0.004144949746539728
18.312,0.0073847131893544915,-0.004146791207818662
18.313,0.007385196165790919,-0.004148014142685119
18.314,0.0073848761448736255,-0.004148618882303556
18.315,0.007383776688868998,-0.004148606072331723
18.316,0.007381920901521927,-0.00414797665665112
18.317,0.007379331433068181,-0.004146731861614045
18.318,0.007376030485533341,-0.004144873180740943
18.319,0.007372039818347775,-0.004142402359933489
18.32,0.00736738075416557,-0.004139321383154884
18.321,0.007362074184991935,-0.00413563245859444
18.322,0.007356140578478748,-0.004131338005325627
18.323,0.007349599984452587,-0.004126440640408166
18.324,0.00734247204162114,-0.004120943166484509
18.325,0.007334775984458475,-0.004114848559824441
18.326,0.007326530650221735,-0.004108159958863655
18.327,0.007317754486132033,-0.004100880653133368
18.328,0.007308465556650656,-0.004093014072718101
18.329,0.007298681550890973,-0.0040845637780847766
18.33,0.007288419790076939,-0.004075533450403873
18.331,0.007277697235123087,-0.004065926882261317
18.332,0.007266530494255963,-0.004055747968818732
18.333,0.007254935830679987,-0.004045000699392079
18.334,0.007242929170291401,-0.0040336891494029276
18.335,0.007230526109418295,-0.004021817472788389
18.336,0.007217741922559862,-0.004009389894756646
18.337,0.007204591570133534,-0.003996410704955794
18.338,0.007191089706211351,-0.003982884251016561
18.339,0.007177250686257741,-0.003968814932445455
18.34,0.0071630885747762385,-0.003954207194925417
18.341,0.0071486171530036335,-0.003939065524920959
18.342,0.0071338499264575195,-0.003923394444656281
18.343,0.00711880013251201,-0.003907198507422507
18.344,0.007103480747863128,-0.003890482293224126
18.345,0.007087904495894387,-0.003873250404736045
18.346,0.0070720838540341835,-0.0038555074635605938
18.347,0.007056031060946849,-0.00383725810681379
18.348,0.0070397581236723294,-0.0038185069839941632
18.349,0.007023276824655783,-0.003799258754121723
18.35,0.007006598728644675,-0.0037795180831722286
18.351,0.006989735189501939,-0.003759289641784732
18.352,0.006972697356871255,-0.0037385781032040245
18.353,0.006955496182742271,-0.0037173881414939228
18.354,0.0069381424278630865,-0.0036957244299840146
18.355,0.006920646668014951,-0.0036735916399578458
18.356,0.00690301930018275,-0.003650994439547128
18.357,0.006885270548531608,-0.003627937492869093
18.358,0.0068674104702785566,-0.003604425459351598
